Date,Close
2018-09-10,1128.6
2018-09-11,1122.99
2018-09-12,1119.25
2018-09-13,1119.83
2018-09-14,1120.66
2018-09-17,1125.33
2018-09-18,1121.82
2018-09-19,1117.95
2018-09-20,1116.13
2018-09-21,1113.95
2018-09-24,1119.12
2018-09-25,1116.88
2018-09-26,1115.37
2018-09-27,1113.82
2018-09-28,1109.98
2018-10-01,1112.76
2018-10-02,1118.33
2018-10-03,1124.5
2018-10-04,1132.53
2018-10-05,1131.13
2018-10-08,1133.63
2018-10-09,1131.12
2018-10-10,1142.3
2018-10-11,1134.55
2018-10-12,1130.3
2018-10-15,1130.87
2018-10-16,1123.07
2018-10-17,1127.53
2018-10-18,1137.6
2018-10-19,1131.15
2018-10-22,1132.25
2018-10-23,1134.78
2018-10-24,1138.86
2018-10-25,1136.38
2018-10-26,1139.28
2018-10-29,1142.74
2018-10-30,1138.69
2018-10-31,1141.02
2018-11-01,1124.16
2018-11-02,1117.1
2018-11-05,1119.56
2018-11-06,1120.93
2018-11-07,1115.43
2018-11-08,1120.68
2018-11-09,1129.69
2018-11-12,1138.35
2018-11-13,1131.34
2018-11-14,1131.7
2018-11-15,1126.93
2018-11-16,1120.4
2018-11-19,1125.02
2018-11-20,1129.25
2018-11-21,1127.12
2018-11-22,1130.8
2018-11-23,1132.5
2018-11-26,1128.79
2018-11-27,1129.51
2018-11-28,1122.48
2018-11-29,1116.55
2018-11-30,1119.44
2018-12-03,1108.54
2018-12-04,1110.51
2018-12-05,1113.16
2018-12-06,1117.7
2018-12-07,1123.85
2018-12-10,1127.37
2018-12-11,1128.53
2018-12-12,1123.82
2018-12-13,1124.55
2018-12-14,1131.7
2018-12-17,1128.2
2018-12-18,1126.53
2018-12-19,1128.71
2018-12-20,1121.78
2018-12-21,1128.04
2018-12-24,1123.87
2018-12-25,1124.1
2018-12-26,1123.66
2018-12-27,1119.08
2018-12-28,1116.05
2018-12-31,1113.3
2019-01-01,1111.83
2019-01-02,1119.12
2019-01-03,1124.89
2019-01-04,1115.85
2019-01-07,1116.66
2019-01-08,1121.83
2019-01-09,1117.18
2019-01-10,1116.79
2019-01-11,1117.23
2019-01-14,1120.8
2019-01-15,1121.5
2019-01-16,1119.78
2019-01-17,1121.7
2019-01-18,1125.08
2019-01-21,1133.1
2019-01-22,1130.77
2019-01-23,1125.46
2019-01-24,1127.75
2019-01-25,1117.78
2019-01-28,1117.87
2019-01-29,1117.01
2019-01-30,1110.04
2019-01-31,1111.4
2019-02-01,1118.4
2019-02-04,1118.86
2019-02-05,1116.27
2019-02-06,1120.5
2019-02-07,1123.81
2019-02-08,1123.5
2019-02-11,1124.99
2019-02-12,1120.29
2019-02-13,1124.59
2019-02-14,1125.4
2019-02-15,1125.44
2019-02-18,1125.1
2019-02-19,1121.92
2019-02-20,1122.22
2019-02-21,1124.63
2019-02-22,1121.99
2019-02-25,1115.06
2019-02-26,1114.61
2019-02-27,1117.22
2019-02-28,1124.6
2019-03-01,1126.67
2019-03-04,1125.46
2019-03-05,1124.81
2019-03-06,1127.38
2019-03-07,1133.87
2019-03-08,1132.9
2019-03-11,1130.77
2019-03-12,1127.44
2019-03-13,1129.5
2019-03-14,1135.42
2019-03-15,1134.7
2019-03-18,1131.52
2019-03-19,1129.96
2019-03-20,1125.05
2019-03-21,1127.41
2019-03-22,1135.11
2019-03-25,1131.86
2019-03-26,1134.87
2019-03-27,1138.24
2019-03-28,1134.95
2019-03-29,1136.1
2019-04-01,1132.72
2019-04-02,1136.92
2019-04-03,1133.67
2019-04-04,1135.83
2019-04-05,1136.69
2019-04-08,1141.98
2019-04-09,1140.08
2019-04-10,1136.97
2019-04-11,1140.96
2019-04-12,1133.72
2019-04-15,1134.1
2019-04-16,1136.69
2019-04-17,1131.28
2019-04-18,1136.61
2019-04-19,1135.58
2019-04-22,1139.99
2019-04-23,1142.11
2019-04-24,1155.05
2019-04-25,1159.01
2019-04-26,1157.9
2019-04-29,1158.88
2019-04-30,1163.25
2019-05-01,1164.73
2019-05-02,1166.16
2019-05-03,1163.68
2019-05-06,1168.15
2019-05-07,1172.22
2019-05-08,1172.1
2019-05-09,1179.09
2019-05-10,1174.2
2019-05-13,1187.78
2019-05-14,1186.82
2019-05-15,1185.79
2019-05-16,1191.33
2019-05-17,1193.73
2019-05-20,1194.23
2019-05-21,1191.78
2019-05-22,1190.37
2019-05-23,1188.8
2019-05-24,1184.77
2019-05-27,1183.55
2019-05-28,1187.94
2019-05-29,1193.03
2019-05-30,1188.73
2019-05-31,1187.8
2019-06-03,1178.92
2019-06-04,1177.56
2019-06-05,1179.84
2019-06-06,1177.67
2019-06-07,1181.07
2019-06-10,1183.02
2019-06-11,1178.21
2019-06-12,1183.35
2019-06-13,1182.32
2019-06-14,1186.78
2019-06-17,1185.55
2019-06-18,1173.87
2019-06-19,1171.48
2019-06-20,1158.52
2019-06-21,1158.2
2019-06-24,1153.67
2019-06-25,1155.17
2019-06-26,1153.67
2019-06-27,1157
2019-06-28,1155.38
2019-07-01,1160.77
2019-07-02,1166.47
2019-07-03,1169.72
2019-07-04,1167.34
2019-07-05,1174.59
2019-07-08,1179.94
2019-07-09,1182.22
2019-07-10,1175.57
2019-07-11,1174.16
2019-07-12,1176.32
2019-07-15,1179.41
2019-07-16,1179.21
2019-07-17,1179.62
2019-07-18,1171.78
2019-07-19,1175.11
2019-07-22,1175.87
2019-07-23,1178.89
2019-07-24,1177.41
2019-07-25,1183.16
2019-07-26,1183.24
2019-07-29,1182.71
2019-07-30,1181.14
2019-07-31,1187.32
2019-08-01,1195.38
2019-08-02,1204.51
2019-08-05,1217.33
2019-08-06,1212.43
2019-08-07,1212.87
2019-08-08,1207.08
2019-08-09,1213.45
2019-08-12,1218.14
2019-08-13,1205.64
2019-08-14,1215.86
2019-08-15,1212.33
2019-08-16,1207.47
2019-08-19,1211.62
2019-08-20,1205.4
2019-08-21,1201.44
2019-08-22,1209.42
2019-08-23,1212.66
2019-08-26,1211.74
2019-08-27,1211.74
2019-08-28,1212.29
2019-08-29,1208.12
2019-08-30,1209.5
2019-09-02,1213.61
2019-09-03,1210.54
2019-09-04,1203.63
2019-09-05,1197.52
2019-09-06,1191.77
2019-09-09,1191.93
2019-09-10,1191.35
2019-09-11,1189.68
2019-09-12,1181.44
2019-09-13,1178.72
2019-09-16,1184.02
2019-09-17,1186.62
2019-09-18,1190.73
2019-09-19,1194.35
2019-09-20,1193.13
2019-09-23,1194.04
2019-09-24,1194.53
2019-09-25,1198.82
2019-09-26,1199.46
2019-09-27,1201.99
2019-09-30,1198.09
2019-10-01,1202.37
2019-10-02,1204.37
2019-10-03,1200.89
2019-10-04,1191.25
2019-10-07,1196.33
2019-10-08,1199.02
2019-10-09,1197.5
2019-10-10,1189.46
2019-10-11,1182.48
2019-10-14,1183.7
2019-10-15,1184.79
2019-10-16,1185.51
2019-10-17,1178.6
2019-10-18,1177.91
2019-10-21,1172.33
2019-10-22,1172.09
2019-10-23,1169.67
2019-10-24,1175.12
2019-10-25,1171.66
2019-10-28,1167.61
2019-10-29,1167.39
2019-10-30,1164.41
2019-10-31,1169.24
2019-11-01,1164.67
2019-11-04,1162.79
2019-11-05,1155.82
2019-11-06,1160.41
2019-11-07,1154.31
2019-11-08,1158.6
2019-11-11,1164.45
2019-11-12,1165.53
2019-11-13,1171.09
2019-11-14,1168.08
2019-11-15,1162.65
2019-11-18,1166.23
2019-11-19,1167.35
2019-11-20,1169.82
2019-11-21,1176.45
2019-11-22,1179.33
2019-11-25,1172.9
2019-11-26,1172.42
2019-11-27,1175.97
2019-11-28,1178.09
2019-11-29,1180.7
2019-12-02,1184.78
2019-12-03,1189.36
2019-12-04,1191.15
2019-12-05,1187.92
2019-12-06,1185.51
2019-12-09,1189.55
2019-12-10,1189.49
2019-12-11,1188.61
2019-12-12,1171.89
2019-12-13,1175.57
2019-12-16,1167.48
2019-12-17,1163.15
2019-12-18,1166.57
2019-12-19,1162.27
2019-12-20,1158.99
2019-12-23,1163.04
2019-12-24,1162.52
2019-12-25,1159.76
2019-12-26,1161.3
2019-12-27,1158.95
2019-12-30,1156.97
2019-12-31,1154.07
2020-01-01,1154.02
2020-01-02,1157.35
2020-01-03,1164.95
2020-01-06,1166.94
2020-01-07,1167.3
2020-01-08,1162.25
2020-01-09,1158.72
2020-01-10,1157.97
2020-01-13,1153.95
2020-01-14,1157.2
2020-01-15,1157.91
2020-01-16,1159.73
2020-01-17,1160.44
2020-01-20,1158.61
2020-01-21,1169.01
2020-01-22,1164.76
2020-01-23,1168.54
2020-01-24,1169.2
2020-01-27,1176.7
2020-01-28,1175.71
2020-01-29,1178.68
2020-01-30,1187.64
2020-01-31,1194.97
2020-02-03,1189.79
2020-02-04,1182.9
2020-02-05,1183.4
2020-02-06,1185.28
2020-02-07,1191.39
2020-02-10,1187.17
2020-02-11,1181.25
2020-02-12,1178.51
2020-02-13,1183.58
2020-02-14,1182.46
2020-02-17,1185.25
2020-02-18,1190.95
2020-02-19,1192.5
2020-02-20,1204.71
2020-02-21,1206.91
2020-02-24,1219.08
